SKU,Items Name,Details ,Unit,Item_Type,VAT,Max_Unit_Rate,Unit_Rate_Excl_VAT,Vat_Amnt,Final_Rate,Discount_percent,Discount_amount
25404,"Collapsible Gate Supply, fitting & fixing collapsible gate with approved thickness and quality including locking arrangement and paint finish etc. complete in all respect as per design drawing and direction of Architect/ Authority.",Standard Quality, Sft , Service ,15%,679.55,590.43,88.57,679,0.08%,0.55
25405,Shutter (24 Gaze) with all accessories,Standard Quality, sft , Supply ,10%,491.16,446.36,44.64,491,0.03%,0.16
25406,Shutter spring ,Standard Quality, Nos , Supply ,10%,2046.51,1860.00,186.00,2046,0.03%,0.51
25407,Emergency Door (Metal) as per design drawing and direction of Architect/ Authority.,Standard Quality, NOS , Service ,15%,36590.91,31817.39,4772.61,36590,0.00%,0.91
25408,"MS WINDOW/ Boundary GRILL Supplying, fitting and fixing window grill made by 3/4? x 3/4? solid MS square bar placed 4? C/C horizontally and 1?-0? to 1?-6? C/C vertically, properly fabricated  and welded, after every 10' vertical post , clamped within the masonry opening, in/c cutting holes for fixing etc. painting 3 coats            with approved color synthetic enamel paint of ?Berger? brand over a coat of anticorrosive painting in/c. cleaning, finishing, grinding putty works etc. complete in all respect as per design, drawing and direction of Architect/ Authority.",Standard Quality, Sft , Service ,15%,188.18,163.48,24.52,188,0.10%,0.18
25409,"MIRROR POLISHED HOMOGENEOUS FLOOR TILE [IMPORTED, CREAM COLOR] Supplying, fitting and fixing homogeneous floor tiles [Imported] of 24"" x 24"" size and quality on 20 mm thick cement mortar (1:2) base or by ?CONMIX? base and raking out the joints with white cement and colored pigment including cutting by electric disk cutter and laying tiles in proper way in/c chipping or dismantling of existing floor if necessary and finishing with care etc., complete in all respect as per design drawing and direction of Architect/Authority. ",Standard Quality,Sft, Service ,15%,266.59,231.30,34.70,266,0.22%,0.59
25410,"HOMOGENEOUS FLOOR TILE [LOCAL] Supplying, fitting and fixing homogeneous floor tiles [LOCAL] of 12"" x 12""/16"" x16"" size and quality on 20 mm thick cement mortar (1:2) base or by ?CONMIX? base and raking out the joints with white cement and colored pigment including cutting by electric disk cutter and laying tiles in proper way in/c chipping or dismantling of existing floor if necessary and finishing with care etc., complete in all respect as per design drawing and direction of Authority.",Standard Quality,Sft, Service ,15%,198.64,172.17,25.83,198,0.32%,0.64
25411,"STAIR STEP TILE [LOCAL] Supplying, fitting and fixing homogenous stair step tile [LOCAL] of 12"" x 12""  size & quality on at least ??  thick cement mortar (1:2) base or by ?CONMIX? base and raking out the joints with white cement and colored pigment including cutting by electric disk cutter and laying tiles in proper way and finishing with care etc. complete in all respect as per design drawing and direction of Authority.",Standard Quality,Sft, Service ,15%,167.27,145.22,21.78,167,0.16%,0.27
25412,"CERAMIC WALL TILE [local] Supplying, fitting and fixing colored glazed wall tiles [Spanish] of approved size & quality on 20 mm thick cement mortar [1:2] base and raking out the joints with white cement including cutting and laying the tiles in proper way and finishing with care etc. complete in all respect as per design drawing and direction of Architect/ Authority.",Standard Quality,Sft, Service ,15%,177.73,153.91,23.09,177,0.41%,0.73
25413,"PAVEMENT TILES WORKS Machine made pavement tiles/block made by Mirpur Ceramic/Concord/Unik/Others of approved quality and color on minimum 20 mm thick cement sand mortar [1:3] in/c raking out joints, cutting the blocks to required size wherever necessary, soaking the same 24 hours before use in/c high class pointing in cement mortar [1:2], cleaning, curing at least 7 days etc. complete in al respect as per design drawing and direction of Authority.",Standard Quality,sft, Service ,15%,162.05,140.87,21.13,162,0.03%,0.05
25414,"GRANITE & MARBLE WORKS  Supplying, fitting and fixing following stone on walls/columns over minimum 18 mm thick cement mortar [1:2] in/c cutting, grinding and polishing the stones, setting in position keeping horizontal & Vertical alignment correct, filling the joints with same color putty, making grooves, finishing with care, etc. complete in all respect as per design, drawing & direction of Authority. Note: [1] Quality, color & texture of Granite stone must be approved before fixing [2] There may be combination of shades for claded materials.",Standard Quality,sft, Service ,15%,940.91,817.39,122.61,940,0.10%,0.91
25415,Rastic Tile,Standard Quality,sft, Service ,15%,397.27,345.22,51.78,397,0.07%,0.27
25416,18/20 mm Marble [required size] / IMPORTED,Standard Quality,Sft, Supply ,10%,767.44,697.27,69.73,767,0.06%,0.44
25417,"TEMPERED GLASS DOOR Supplying, fitting and fixing imported Frameless Tempered Glass Door having 10 mm thickness with all foreign made hardware of best quality available viz. Stainless steel handless concealed auto-closer, stopper, locking arrangement complete in all respect as per design, drawing and direction of Architect/Authority. Size : 3?- 0? W x 7?- 0? ",VVP Thailand,Nos, Supply ,10%,23534.88,21394.55,2139.45,23534,0.00%,0.88
25418,"TEMPERED GLASS DOOR Supplying, fitting and fixing imported Frameless Tempered Glass Door having 10 mm thickness with all foreign made hardware of best quality available viz. Stainless steel handless concealed auto-closer, stopper, locking arrangement complete in all respect as per design, drawing and direction of Architect/Authority. Size : 2""-6""?- W x 7?- 0? ",VVP Thailand,Nos, Supply ,10%,20465.12,18604.55,1860.45,20465,0.00%,0.12
